CMDLINE /usr/bin/python3 launcher.py
MEM 226.222656 1555053956.3300
MEM 142.437500 1555053956.4442
MEM 150.941406 1555053956.5580
MEM 154.550781 1555053956.6719
MEM 154.550781 1555053956.7857
MEM 154.550781 1555053956.8992
MEM 154.550781 1555053957.0127
MEM 154.550781 1555053957.1264
MEM 154.550781 1555053957.2403
MEM 154.550781 1555053957.3542
MEM 154.550781 1555053957.4680
MEM 154.550781 1555053957.5816
MEM 155.324219 1555053957.6952
MEM 169.761719 1555053957.8089
MEM 193.738281 1555053957.9225
MEM 210.496094 1555053958.0360
MEM 235.761719 1555053958.1497
MEM 142.453125 1555053958.2638
MEM 142.457031 1555053958.3777
MEM 142.457031 1555053958.4917
MEM 142.457031 1555053958.6084
MEM 142.457031 1555053958.7285
MEM 142.457031 1555053958.8468
MEM 142.457031 1555053958.9648
MEM 142.457031 1555053959.0833
MEM 142.457031 1555053959.2008
MEM 153.796875 1555053959.3190
MEM 153.796875 1555053959.4376
MEM 153.796875 1555053959.5559
MEM 153.796875 1555053959.6741
MEM 153.796875 1555053959.7915
MEM 154.054688 1555053959.9102
MEM 169.007812 1555053960.0259
MEM 169.265625 1555053960.1402
MEM 169.265625 1555053960.2542
MEM 169.265625 1555053960.3679
MEM 169.265625 1555053960.4815
MEM 169.265625 1555053960.5952
MEM 169.781250 1555053960.7090
MEM 188.859375 1555053960.8227
MEM 205.617188 1555053960.9362
MEM 223.406250 1555053961.0500
MEM 238.101562 1555053961.1640
MEM 146.085938 1555053961.2782
MEM 154.593750 1555053961.3920
MEM 154.593750 1555053961.5058
MEM 154.593750 1555053961.6225
MEM 154.593750 1555053961.7402
MEM 154.593750 1555053961.8585
MEM 154.593750 1555053961.9770
MEM 156.140625 1555053962.0955
MEM 170.062500 1555053962.2137
MEM 188.625000 1555053962.3321
MEM 207.187500 1555053962.4507
MEM 227.812500 1555053962.5691
MEM 245.085938 1555053962.6881
MEM 261.328125 1555053962.8073
MEM 282.210938 1555053962.9257
MEM 311.601562 1555053963.0446
MEM 330.937500 1555053963.1635
MEM 142.480469 1555053963.2810
MEM 142.480469 1555053963.3990
MEM 142.480469 1555053963.5178
MEM 142.480469 1555053963.6359
MEM 142.480469 1555053963.7520
MEM 143.250000 1555053963.8659
MEM 153.820312 1555053963.9796
MEM 153.820312 1555053964.0936
MEM 154.078125 1555053964.2071
MEM 157.687500 1555053964.3208
MEM 157.687500 1555053964.4345
MEM 157.687500 1555053964.5483
MEM 157.687500 1555053964.6618
MEM 157.687500 1555053964.7758
MEM 157.687500 1555053964.8895
MEM 157.687500 1555053965.0031
MEM 157.945312 1555053965.1170
MEM 174.187500 1555053965.2309
MEM 174.187500 1555053965.3446
MEM 174.187500 1555053965.4585
MEM 174.187500 1555053965.5723
MEM 174.187500 1555053965.6864
MEM 174.187500 1555053965.8002
MEM 174.187500 1555053965.9154
MEM 174.187500 1555053966.0303
MEM 174.187500 1555053966.1438
MEM 174.187500 1555053966.2582
MEM 174.187500 1555053966.3723
MEM 174.187500 1555053966.4882
MEM 174.187500 1555053966.6056
MEM 174.187500 1555053966.7196
MEM 174.187500 1555053966.8334
MEM 174.187500 1555053966.9482
MEM 174.187500 1555053967.0619
MEM 174.187500 1555053967.1768
MEM 174.187500 1555053967.2906
MEM 174.187500 1555053967.4051
MEM 174.187500 1555053967.5202
MEM 174.187500 1555053967.6349
MEM 174.187500 1555053967.7521
MEM 174.187500 1555053967.8663
MEM 174.187500 1555053967.9805
MEM 174.187500 1555053968.0947
MEM 174.187500 1555053968.2108
MEM 174.187500 1555053968.3253
MEM 174.187500 1555053968.4402
MEM 174.187500 1555053968.5550
MEM 174.187500 1555053968.6691
MEM 174.187500 1555053968.7828
MEM 174.187500 1555053968.8965
MEM 174.187500 1555053969.0102
MEM 174.187500 1555053969.1267
MEM 174.187500 1555053969.2451
MEM 174.187500 1555053969.3655
MEM 174.187500 1555053969.4848
MEM 174.187500 1555053969.6040
MEM 174.187500 1555053969.7180
MEM 174.187500 1555053969.8335
MEM 174.187500 1555053969.9493
MEM 174.187500 1555053970.0643
MEM 174.187500 1555053970.1783
MEM 174.187500 1555053970.2931
MEM 174.187500 1555053970.4072
MEM 174.187500 1555053970.5218
MEM 174.187500 1555053970.6385
MEM 174.187500 1555053970.7529
MEM 174.187500 1555053970.8670
MEM 174.187500 1555053970.9811
MEM 174.187500 1555053971.0952
MEM 174.187500 1555053971.2113
MEM 174.187500 1555053971.3258
MEM 174.187500 1555053971.4427
MEM 174.187500 1555053971.5592
MEM 174.187500 1555053971.6741
MEM 174.187500 1555053971.7895
MEM 174.187500 1555053971.9038
MEM 174.187500 1555053972.0191
MEM 174.187500 1555053972.1366
MEM 174.187500 1555053972.2558
MEM 174.187500 1555053972.3714
MEM 174.187500 1555053972.4872
MEM 174.187500 1555053972.6029
MEM 174.187500 1555053972.7169
MEM 174.187500 1555053972.8309
MEM 174.187500 1555053972.9451
MEM 174.187500 1555053973.0598
MEM 174.187500 1555053973.1761
MEM 174.187500 1555053973.2909
MEM 174.187500 1555053973.4070
MEM 174.187500 1555053973.5229
MEM 174.187500 1555053973.6423
MEM 174.187500 1555053973.7593
MEM 174.187500 1555053973.8732
MEM 174.187500 1555053973.9874
MEM 174.187500 1555053974.1041
MEM 174.187500 1555053974.2182
MEM 174.187500 1555053974.3363
MEM 174.187500 1555053974.4583
MEM 174.187500 1555053974.5838
MEM 174.187500 1555053974.7066
MEM 174.187500 1555053974.8283
MEM 174.187500 1555053974.9526
MEM 174.187500 1555053975.0737
MEM 174.187500 1555053975.1919
MEM 174.187500 1555053975.3089
MEM 174.187500 1555053975.4246
MEM 174.187500 1555053975.5393
MEM 174.187500 1555053975.6535
MEM 174.187500 1555053975.7689
MEM 174.187500 1555053975.8831
MEM 174.187500 1555053975.9973
MEM 174.187500 1555053976.1124
MEM 174.187500 1555053976.2275
MEM 174.187500 1555053976.3421
MEM 174.187500 1555053976.4585
MEM 174.187500 1555053976.5748
MEM 174.187500 1555053976.6904
MEM 174.187500 1555053976.8064
MEM 174.187500 1555053976.9205
MEM 174.187500 1555053977.0400
MEM 174.187500 1555053977.1622
MEM 174.187500 1555053977.2852
MEM 174.187500 1555053977.4059
MEM 174.187500 1555053977.5277
MEM 174.187500 1555053977.6527
MEM 174.187500 1555053977.7780
MEM 174.187500 1555053977.9018
MEM 174.187500 1555053978.0252
MEM 174.187500 1555053978.1506
MEM 174.187500 1555053978.2729
MEM 174.187500 1555053978.3909
MEM 174.187500 1555053978.5047
MEM 174.187500 1555053978.6198
MEM 174.187500 1555053978.7334
MEM 174.187500 1555053978.8470
MEM 174.187500 1555053978.9607
MEM 174.187500 1555053979.0746
MEM 174.187500 1555053979.1907
MEM 174.187500 1555053979.3069
MEM 174.187500 1555053979.4202
MEM 174.187500 1555053979.5360
MEM 174.187500 1555053979.6567
MEM 174.187500 1555053979.7816
MEM 174.187500 1555053979.9063
MEM 174.187500 1555053980.0204
MEM 174.187500 1555053980.1346
MEM 174.187500 1555053980.2495
MEM 174.187500 1555053980.3667
MEM 174.187500 1555053980.4813
MEM 174.187500 1555053980.5967
MEM 174.187500 1555053980.7153
MEM 174.187500 1555053980.8306
MEM 174.187500 1555053980.9455
MEM 174.187500 1555053981.0624
MEM 174.187500 1555053981.1791
MEM 174.187500 1555053981.2983
MEM 174.187500 1555053981.4125
MEM 174.187500 1555053981.5265
MEM 174.187500 1555053981.6406
MEM 174.187500 1555053981.7560
MEM 174.187500 1555053981.8718
MEM 174.187500 1555053981.9861
MEM 174.187500 1555053982.1002
MEM 174.187500 1555053982.2150
MEM 174.187500 1555053982.3291
MEM 174.187500 1555053982.4434
MEM 174.187500 1555053982.5597
MEM 174.187500 1555053982.6760
MEM 174.187500 1555053982.7909
MEM 174.187500 1555053982.9072
MEM 174.187500 1555053983.0207
MEM 174.187500 1555053983.1359
MEM 174.187500 1555053983.2499
MEM 174.187500 1555053983.3635
MEM 174.187500 1555053983.4772
MEM 174.187500 1555053983.5908
MEM 174.187500 1555053983.7044
MEM 174.187500 1555053983.8195
MEM 174.187500 1555053983.9332
MEM 174.187500 1555053984.0485
MEM 174.187500 1555053984.1684
MEM 174.187500 1555053984.2911
MEM 174.187500 1555053984.4154
MEM 174.187500 1555053984.5377
MEM 174.187500 1555053984.6614
MEM 174.187500 1555053984.7796
MEM 174.187500 1555053984.8938
MEM 174.187500 1555053985.0094
MEM 174.187500 1555053985.1235
MEM 174.187500 1555053985.2386
MEM 174.187500 1555053985.3541
MEM 174.187500 1555053985.4685
MEM 174.187500 1555053985.5884
MEM 174.187500 1555053985.7107
MEM 174.187500 1555053985.8311
MEM 174.187500 1555053985.9561
MEM 174.187500 1555053986.0777
MEM 174.187500 1555053986.1997
MEM 174.187500 1555053986.3217
MEM 174.187500 1555053986.4449
MEM 174.187500 1555053986.5694
MEM 174.187500 1555053986.6843
MEM 174.187500 1555053986.8023
MEM 174.187500 1555053986.9179
MEM 174.187500 1555053987.0323
MEM 174.187500 1555053987.1465
MEM 174.187500 1555053987.2610
MEM 174.187500 1555053987.3781
MEM 174.187500 1555053987.4946
MEM 174.187500 1555053987.6095
MEM 174.187500 1555053987.7245
MEM 174.187500 1555053987.8401
MEM 174.187500 1555053987.9540
MEM 174.187500 1555053988.0683
MEM 174.187500 1555053988.1850
MEM 174.187500 1555053988.3005
MEM 174.187500 1555053988.4153
MEM 174.187500 1555053988.5292
MEM 174.187500 1555053988.6453
MEM 174.187500 1555053988.7603
MEM 174.187500 1555053988.8751
MEM 174.187500 1555053988.9905
MEM 174.187500 1555053989.1057
MEM 174.187500 1555053989.2227
MEM 174.187500 1555053989.3390
MEM 174.187500 1555053989.4530
MEM 174.187500 1555053989.5673
MEM 174.187500 1555053989.6824
MEM 174.187500 1555053989.7990
MEM 174.187500 1555053989.9146
MEM 174.187500 1555053990.0311
MEM 174.187500 1555053990.1470
MEM 174.187500 1555053990.2627
MEM 174.187500 1555053990.3767
MEM 174.187500 1555053990.4930
MEM 174.187500 1555053990.6071
MEM 174.187500 1555053990.7220
MEM 174.187500 1555053990.8402
MEM 174.187500 1555053990.9658
MEM 174.187500 1555053991.0886
MEM 174.187500 1555053991.2085
MEM 174.187500 1555053991.3240
MEM 174.187500 1555053991.4378
MEM 174.187500 1555053991.5531
MEM 174.187500 1555053991.6698
MEM 174.187500 1555053991.7868
MEM 174.187500 1555053991.9012
MEM 174.187500 1555053992.0152
MEM 174.187500 1555053992.1301
MEM 174.187500 1555053992.2458
MEM 174.187500 1555053992.3597
MEM 174.187500 1555053992.4823
MEM 174.187500 1555053992.6049
MEM 174.187500 1555053992.7243
MEM 174.187500 1555053992.8427
MEM 174.187500 1555053992.9604
MEM 174.187500 1555053993.0766
MEM 174.187500 1555053993.1919
MEM 174.187500 1555053993.3068
MEM 174.187500 1555053993.4222
MEM 174.187500 1555053993.5381
MEM 174.187500 1555053993.6524
MEM 174.187500 1555053993.7709
MEM 174.187500 1555053993.8929
MEM 174.187500 1555053994.0156
MEM 174.187500 1555053994.1388
MEM 174.187500 1555053994.2568
MEM 174.187500 1555053994.3742
MEM 174.187500 1555053994.4909
MEM 174.187500 1555053994.6056
MEM 174.187500 1555053994.7198
MEM 174.187500 1555053994.8338
MEM 174.187500 1555053994.9481
MEM 174.187500 1555053995.0621
MEM 174.187500 1555053995.1773
MEM 174.187500 1555053995.2942
MEM 174.187500 1555053995.4082
MEM 174.187500 1555053995.5250
MEM 174.187500 1555053995.6418
MEM 174.187500 1555053995.7588
MEM 174.187500 1555053995.8840
MEM 174.187500 1555053996.0049
MEM 174.187500 1555053996.1266
MEM 174.187500 1555053996.2484
MEM 174.187500 1555053996.3696
MEM 174.187500 1555053996.4917
MEM 174.187500 1555053996.6127
MEM 174.187500 1555053996.7391
MEM 174.187500 1555053996.8633
MEM 174.187500 1555053996.9794
MEM 174.187500 1555053997.0953
MEM 174.187500 1555053997.2094
MEM 174.187500 1555053997.3237
MEM 174.187500 1555053997.4379
MEM 174.187500 1555053997.5525
MEM 174.187500 1555053997.6666
MEM 174.187500 1555053997.7809
MEM 174.187500 1555053997.8969
MEM 174.187500 1555053998.0129
MEM 174.187500 1555053998.1272
MEM 174.187500 1555053998.2432
MEM 174.187500 1555053998.3583
MEM 174.187500 1555053998.4763
MEM 174.187500 1555053998.5999
MEM 174.187500 1555053998.7207
MEM 174.187500 1555053998.8432
MEM 174.187500 1555053998.9612
MEM 174.187500 1555053999.0757
MEM 174.187500 1555053999.1972
MEM 174.187500 1555053999.3114
MEM 174.187500 1555053999.4255
MEM 174.187500 1555053999.5403
MEM 174.187500 1555053999.6544
MEM 174.187500 1555053999.7696
MEM 174.187500 1555053999.8835
MEM 174.187500 1555053999.9983
MEM 174.187500 1555054000.1151
MEM 174.187500 1555054000.2298
MEM 174.187500 1555054000.3444
MEM 174.703125 1555054000.4602
MEM 174.703125 1555054000.5742
MEM 174.703125 1555054000.6925
MEM 174.703125 1555054000.8141
MEM 174.703125 1555054000.9336
MEM 174.703125 1555054001.0531
MEM 174.703125 1555054001.1721
MEM 174.703125 1555054001.2921
MEM 174.703125 1555054001.4109
MEM 174.703125 1555054001.5344
MEM 174.703125 1555054001.6549
MEM 174.703125 1555054001.7795
MEM 174.703125 1555054001.8994
MEM 174.703125 1555054002.0190
MEM 174.703125 1555054002.1384
MEM 174.703125 1555054002.2580
